risk_profile,investment_horizon,investment_amount,recommended_stock_category,recommended_mf_category
Aggressive,Short-term,462385,Small-Cap,Equity
Conservative,Short-term,96366,Index,Debt
Aggressive,Medium-term,162150,Small-Cap,Equity
Moderate,Short-term,965078,Index,Index
Aggressive,Long-term,797301,Small-Cap,ELSS
Conservative,Medium-term,334768,Value,Debt
Conservative,Short-term,181147,Dividend,Debt
Moderate,Medium-term,103676,Blend,Equity
Aggressive,Long-term,537947,Small-Cap,Equity
Aggressive,Short-term,439586,Small-Cap,Equity
Moderate,Long-term,903320,Growth,Equity
Aggressive,Short-term,592473,Small-Cap,Equity
Aggressive,Long-term,651424,Small-Cap,Equity
Conservative,Short-term,483137,Dividend,Debt
Aggressive,Medium-term,184823,Small-Cap,Equity
Aggressive,Short-term,859190,Growth,ELSS
Moderate,Medium-term,750233,Blend,Hybrid
Moderate,Short-term,146203,Index,Hybrid
Conservative,Short-term,142430,Dividend,Debt
Aggressive,Long-term,527086,Growth,ELSS
Aggressive,Long-term,625438,Small-Cap,ELSS
Aggressive,Long-term,460587,Small-Cap,ELSS
Conservative,Short-term,747667,Dividend,Debt
Conservative,Short-term,482355,Index,Debt
Moderate,Short-term,943750,Value,Index
Conservative,Medium-term,289360,Value,Hybrid
Aggressive,Medium-term,837641,Small-Cap,Equity
Aggressive,Short-term,315131,Growth,ELSS
Conservative,Long-term,642312,Index,Index
Aggressive,Long-term,948081,Growth,ELSS
Aggressive,Long-term,519742,Small-Cap,Equity
Conservative,Short-term,576608,Index,Debt
Conservative,Long-term,283445,Dividend,Debt
Aggressive,Short-term,216123,Small-Cap,Equity
Aggressive,Medium-term,233410,Small-Cap,Equity
Aggressive,Long-term,136560,Small-Cap,ELSS
Moderate,Medium-term,273035,Index,Equity
Moderate,Long-term,949476,Index,Equity
Moderate,Short-term,322601,Index,Index
Conservative,Short-term,647677,Dividend,Debt
Moderate,Short-term,457651,Value,Hybrid
Conservative,Short-term,293076,Dividend,Debt
Conservative,Long-term,276336,Index,Hybrid
Moderate,Medium-term,812560,Blend,Equity
Moderate,Short-term,32836,Value,Index
Moderate,Long-term,296981,Index,Index
Aggressive,Medium-term,651316,Small-Cap,Equity
Moderate,Short-term,912913,Index,Hybrid
Aggressive,Medium-term,921608,Small-Cap,ELSS
Conservative,Short-term,135172,Dividend,Debt
Aggressive,Medium-term,294922,Small-Cap,ELSS
Moderate,Medium-term,53130,Blend,Hybrid
Conservative,Short-term,288852,Dividend,Debt
Conservative,Long-term,379625,Index,Debt
Conservative,Medium-term,165304,Value,Debt
Aggressive,Short-term,198338,Growth,Equity
Moderate,Medium-term,966916,Blend,Index
Conservative,Medium-term,539070,Dividend,Hybrid
Conservative,Long-term,464412,Dividend,Debt
Conservative,Medium-term,691675,Dividend,Debt
Aggressive,Medium-term,282196,Small-Cap,Equity
Aggressive,Short-term,815953,Small-Cap,Equity
Moderate,Short-term,734794,Value,Index
Aggressive,Long-term,223827,Growth,ELSS
Conservative,Medium-term,341834,Dividend,Debt
Moderate,Medium-term,569834,Blend,Index
Conservative,Medium-term,744705,Value,Hybrid
Conservative,Long-term,167044,Index,Debt
Aggressive,Medium-term,639001,Growth,Equity
Moderate,Short-term,265628,Index,Hybrid
Aggressive,Long-term,991889,Small-Cap,Equity
Aggressive,Short-term,636905,Small-Cap,Equity
Moderate,Short-term,32030,Index,Hybrid
Conservative,Long-term,527933,Index,Index
Conservative,Short-term,967880,Index,Debt
Moderate,Medium-term,751001,Index,Index
Conservative,Long-term,99831,Dividend,Debt
Moderate,Short-term,87400,Value,Hybrid
Moderate,Medium-term,290199,Index,Equity
Aggressive,Medium-term,502436,Growth,ELSS
Moderate,Short-term,752868,Index,Index
Aggressive,Medium-term,952997,Growth,Equity
Conservative,Long-term,609149,Index,Index
Conservative,Short-term,917616,Dividend,Debt
Conservative,Medium-term,388668,Value,Hybrid
Conservative,Medium-term,388970,Dividend,Hybrid
Aggressive,Short-term,833207,Growth,Equity
Conservative,Short-term,978561,Dividend,Debt
Moderate,Short-term,358053,Index,Hybrid
Moderate,Short-term,832685,Value,Index
Moderate,Long-term,227789,Growth,Equity
Aggressive,Short-term,266072,Small-Cap,Equity
Conservative,Long-term,586172,Index,Debt
Conservative,Long-term,86497,Index,Debt
Conservative,Short-term,814137,Index,Debt
Aggressive,Long-term,185748,Small-Cap,ELSS
Moderate,Short-term,242730,Value,Hybrid
Moderate,Short-term,363784,Index,Index
Conservative,Medium-term,220117,Dividend,Debt
Moderate,Short-term,17101,Value,Index
Moderate,Medium-term,334639,Growth,Hybrid
Aggressive,Long-term,407959,Small-Cap,ELSS
Aggressive,Medium-term,543239,Small-Cap,ELSS
Aggressive,Long-term,672374,Small-Cap,ELSS
Aggressive,Short-term,570468,Growth,ELSS
Conservative,Long-term,853409,Index,Debt
Aggressive,Long-term,257117,Small-Cap,Equity
Moderate,Short-term,200606,Index,Index
Conservative,Long-term,597497,Index,Hybrid
Moderate,Short-term,783529,Index,Hybrid
Moderate,Medium-term,707268,Index,Equity
Moderate,Short-term,532283,Index,Index
Aggressive,Short-term,380719,Small-Cap,Equity
Aggressive,Long-term,847350,Growth,ELSS
Conservative,Medium-term,935723,Dividend,Hybrid
Conservative,Short-term,148235,Dividend,Debt
Aggressive,Medium-term,143542,Growth,ELSS
Moderate,Medium-term,419759,Index,Equity
Conservative,Long-term,160348,Dividend,Debt
Aggressive,Short-term,130014,Small-Cap,Equity
Aggressive,Long-term,702241,Growth,ELSS
Aggressive,Short-term,351094,Growth,Equity
Moderate,Medium-term,17749,Growth,Equity
Aggressive,Short-term,820614,Small-Cap,ELSS
Aggressive,Short-term,349594,Growth,Equity
Aggressive,Medium-term,614831,Growth,ELSS
Aggressive,Medium-term,630775,Growth,Equity
Conservative,Short-term,382371,Dividend,Debt
Conservative,Long-term,239216,Index,Debt
Aggressive,Short-term,528567,Small-Cap,Equity
Moderate,Medium-term,424599,Index,Equity
Conservative,Long-term,875010,Index,Index
Aggressive,Medium-term,650546,Small-Cap,Equity
Conservative,Medium-term,690772,Index,Debt
Conservative,Long-term,23181,Index,Hybrid
Moderate,Medium-term,54898,Growth,Equity
Aggressive,Medium-term,987134,Small-Cap,ELSS
Aggressive,Medium-term,799837,Small-Cap,Equity
Moderate,Medium-term,499620,Growth,Equity
Moderate,Medium-term,283006,Index,Hybrid
Aggressive,Medium-term,195751,Growth,ELSS
Aggressive,Medium-term,300832,Small-Cap,ELSS
Moderate,Medium-term,582305,Growth,Equity
Conservative,Medium-term,499697,Index,Debt
Conservative,Short-term,285083,Dividend,Debt
Moderate,Short-term,777631,Index,Hybrid
Conservative,Medium-term,376296,Index,Hybrid
Moderate,Short-term,311729,Index,Index
Conservative,Long-term,388459,Index,Debt
Conservative,Short-term,114447,Dividend,Debt
Aggressive,Medium-term,778173,Growth,Equity
Aggressive,Medium-term,249434,Small-Cap,ELSS
Conservative,Short-term,688302,Dividend,Debt
Conservative,Medium-term,251147,Dividend,Debt
Aggressive,Long-term,408488,Small-Cap,ELSS
Aggressive,Long-term,447350,Small-Cap,ELSS
Aggressive,Medium-term,165337,Small-Cap,ELSS
Moderate,Long-term,264743,Growth,ELSS
Conservative,Long-term,713552,Index,Debt
Aggressive,Short-term,694028,Small-Cap,Equity
Conservative,Long-term,514948,Dividend,Hybrid
Moderate,Short-term,615848,Index,Index
Moderate,Medium-term,369579,Blend,Equity
Aggressive,Short-term,603571,Growth,Equity
Moderate,Medium-term,19297,Blend,Hybrid
Conservative,Medium-term,74005,Index,Hybrid
Aggressive,Medium-term,925265,Small-Cap,Equity
Conservative,Medium-term,199506,Index,Hybrid
Conservative,Medium-term,992253,Dividend,Hybrid
Moderate,Short-term,404823,Value,Hybrid
Moderate,Medium-term,664942,Index,Equity
Moderate,Long-term,200255,Growth,ELSS
Moderate,Long-term,621282,Index,Equity
Moderate,Medium-term,66305,Index,Equity
Aggressive,Long-term,693333,Small-Cap,ELSS
Conservative,Short-term,950621,Dividend,Debt
Conservative,Short-term,223058,Dividend,Debt
Conservative,Medium-term,746431,Value,Debt
Conservative,Medium-term,919120,Value,Hybrid
Moderate,Medium-term,235963,Growth,Equity
Conservative,Long-term,804077,Index,Hybrid
Aggressive,Long-term,838670,Growth,ELSS
Aggressive,Short-term,603982,Growth,Equity
Conservative,Long-term,707133,Dividend,Hybrid
Conservative,Short-term,288930,Index,Debt
Aggressive,Long-term,50693,Small-Cap,ELSS
Aggressive,Short-term,892879,Growth,Equity
Moderate,Medium-term,429794,Blend,Equity
Aggressive,Long-term,973912,Small-Cap,Equity
Moderate,Short-term,603990,Value,Hybrid
Moderate,Long-term,356989,Index,ELSS
Moderate,Medium-term,811508,Index,Equity
Moderate,Short-term,815809,Value,Hybrid
Moderate,Long-term,674638,Growth,Equity
Conservative,Long-term,468024,Index,Index
Aggressive,Medium-term,530436,Small-Cap,Equity
Moderate,Medium-term,399512,Index,Hybrid
Aggressive,Short-term,567827,Small-Cap,Equity
Aggressive,Long-term,660840,Small-Cap,ELSS
Moderate,Long-term,152512,Index,Index
Conservative,Medium-term,298389,Dividend,Hybrid
Moderate,Medium-term,949601,Growth,Equity
Conservative,Short-term,739063,Index,Debt
Aggressive,Long-term,863524,Small-Cap,ELSS
Conservative,Long-term,381598,Index,Debt
Conservative,Short-term,928655,Dividend,Debt
Conservative,Short-term,687058,Index,Debt
Aggressive,Medium-term,682961,Small-Cap,ELSS
Aggressive,Medium-term,167879,Small-Cap,ELSS
Conservative,Short-term,710662,Dividend,Debt
Conservative,Short-term,226936,Dividend,Debt
Moderate,Long-term,673399,Index,Equity
Conservative,Short-term,519946,Dividend,Debt
Moderate,Short-term,319571,Value,Hybrid
Conservative,Long-term,868271,Dividend,Hybrid
Moderate,Short-term,723409,Index,Index
Aggressive,Medium-term,422269,Small-Cap,ELSS
Conservative,Medium-term,238252,Value,Debt
Conservative,Long-term,388945,Dividend,Hybrid
Conservative,Short-term,907277,Dividend,Debt
Conservative,Medium-term,882730,Dividend,Debt
Moderate,Medium-term,99147,Blend,Hybrid
Conservative,Medium-term,589701,Index,Debt
Aggressive,Medium-term,600246,Growth,ELSS
Aggressive,Short-term,565563,Growth,Equity
Conservative,Short-term,36597,Dividend,Debt
Aggressive,Short-term,349665,Growth,Equity
Conservative,Short-term,628531,Dividend,Debt
Conservative,Medium-term,788770,Index,Debt
Aggressive,Long-term,78908,Growth,ELSS
Conservative,Long-term,327332,Index,Debt
Aggressive,Medium-term,306854,Small-Cap,ELSS
Moderate,Medium-term,914925,Growth,Hybrid
Conservative,Long-term,232424,Dividend,Hybrid
Moderate,Long-term,478702,Growth,ELSS
Aggressive,Medium-term,714410,Small-Cap,Equity
Moderate,Medium-term,845681,Index,Index
Moderate,Short-term,568535,Index,Index
Aggressive,Short-term,473378,Growth,Equity
Moderate,Long-term,822840,Growth,ELSS
Moderate,Medium-term,86313,Index,Index
Aggressive,Long-term,736043,Small-Cap,ELSS
Moderate,Short-term,259407,Index,Hybrid
Aggressive,Short-term,277587,Growth,ELSS
Moderate,Long-term,926702,Index,ELSS
Aggressive,Short-term,665439,Small-Cap,Equity
Aggressive,Medium-term,893250,Small-Cap,Equity
Moderate,Long-term,441561,Growth,Index
Moderate,Medium-term,153973,Index,Hybrid
Moderate,Medium-term,208831,Index,Hybrid
Conservative,Short-term,183804,Dividend,Debt
Conservative,Medium-term,744664,Dividend,Hybrid
Conservative,Long-term,260278,Index,Debt
Aggressive,Medium-term,158579,Growth,Equity
Moderate,Medium-term,794370,Index,Equity
Aggressive,Medium-term,353929,Growth,ELSS
Conservative,Medium-term,136691,Index,Debt
Moderate,Medium-term,267426,Blend,Equity
Aggressive,Short-term,307535,Small-Cap,Equity
Moderate,Long-term,568459,Growth,ELSS
Aggressive,Short-term,454946,Small-Cap,Equity
Moderate,Long-term,911451,Growth,ELSS
Conservative,Long-term,803917,Index,Hybrid
Conservative,Long-term,924060,Index,Index
Moderate,Long-term,906536,Index,Equity
Aggressive,Long-term,911859,Small-Cap,Equity
Conservative,Medium-term,236392,Dividend,Hybrid
Conservative,Short-term,531819,Index,Debt
Conservative,Short-term,252174,Dividend,Debt
Moderate,Medium-term,100153,Blend,Hybrid
Moderate,Long-term,47748,Index,Index
Aggressive,Short-term,931382,Growth,Equity
Aggressive,Medium-term,143021,Growth,Equity
Aggressive,Medium-term,226452,Small-Cap,ELSS
Moderate,Short-term,257888,Index,Hybrid
Moderate,Short-term,424097,Index,Hybrid
Aggressive,Long-term,192378,Growth,ELSS
Aggressive,Long-term,621438,Small-Cap,Equity
Moderate,Short-term,99364,Value,Hybrid
Aggressive,Long-term,125925,Small-Cap,ELSS
Conservative,Medium-term,19958,Index,Debt
Moderate,Long-term,986689,Index,Equity
Aggressive,Long-term,149769,Small-Cap,ELSS
Moderate,Medium-term,97160,Index,Equity
Conservative,Long-term,811925,Dividend,Index
Moderate,Medium-term,183873,Growth,Index
Moderate,Long-term,293343,Index,ELSS
Moderate,Short-term,796369,Index,Hybrid
Moderate,Long-term,248962,Index,ELSS
Conservative,Short-term,993296,Dividend,Debt
Moderate,Short-term,437704,Index,Index
Moderate,Short-term,826925,Index,Hybrid
Aggressive,Short-term,645833,Growth,Equity
Moderate,Short-term,321146,Value,Hybrid
Aggressive,Medium-term,33731,Small-Cap,Equity
Conservative,Medium-term,148148,Dividend,Debt
Conservative,Medium-term,797503,Dividend,Debt
Conservative,Short-term,896358,Dividend,Debt
Conservative,Long-term,662160,Dividend,Index
Aggressive,Medium-term,995106,Small-Cap,ELSS
Moderate,Long-term,51410,Growth,ELSS
Conservative,Long-term,764561,Index,Hybrid
Moderate,Short-term,457543,Value,Index
Aggressive,Short-term,891380,Small-Cap,ELSS
Aggressive,Short-term,726432,Growth,Equity
Aggressive,Medium-term,238443,Small-Cap,ELSS
Conservative,Short-term,51041,Index,Debt
Moderate,Medium-term,395760,Index,Hybrid
Moderate,Medium-term,587614,Blend,Equity
Moderate,Medium-term,441765,Growth,Hybrid
Aggressive,Medium-term,849528,Growth,Equity
Conservative,Short-term,720938,Index,Debt
Aggressive,Medium-term,973894,Small-Cap,ELSS
Aggressive,Short-term,449268,Growth,Equity
Moderate,Short-term,839599,Index,Index
Aggressive,Medium-term,457803,Small-Cap,Equity
Moderate,Short-term,857724,Index,Index
Conservative,Long-term,347563,Dividend,Hybrid
Moderate,Short-term,707499,Index,Index
Conservative,Short-term,520839,Dividend,Debt
Moderate,Medium-term,884185,Growth,Index
Aggressive,Medium-term,676067,Growth,ELSS
Aggressive,Short-term,771752,Growth,Equity
Conservative,Medium-term,940644,Value,Debt
Conservative,Long-term,518365,Dividend,Debt
Conservative,Long-term,21093,Dividend,Hybrid
Moderate,Medium-term,900521,Index,Equity
Moderate,Short-term,82043,Value,Hybrid
Conservative,Long-term,501338,Index,Debt
Aggressive,Long-term,396678,Small-Cap,ELSS
Moderate,Short-term,409046,Value,Index
Moderate,Medium-term,171680,Growth,Hybrid
Moderate,Long-term,899297,Index,ELSS
Conservative,Short-term,396822,Index,Debt
Conservative,Short-term,319431,Dividend,Debt
Conservative,Long-term,493263,Index,Hybrid
Conservative,Medium-term,567715,Value,Debt
Conservative,Long-term,529333,Dividend,Index
Aggressive,Short-term,487258,Growth,Equity
Aggressive,Long-term,693755,Small-Cap,ELSS
Conservative,Medium-term,926281,Dividend,Debt
Moderate,Short-term,381983,Index,Hybrid
Conservative,Medium-term,889094,Value,Hybrid
Aggressive,Long-term,760362,Small-Cap,ELSS
Aggressive,Long-term,814402,Small-Cap,ELSS
Moderate,Medium-term,604506,Growth,Equity
Aggressive,Long-term,217547,Small-Cap,ELSS
Conservative,Medium-term,870794,Dividend,Debt
Moderate,Long-term,688731,Growth,ELSS
Conservative,Medium-term,230967,Dividend,Debt
Conservative,Medium-term,946770,Dividend,Hybrid
Moderate,Short-term,244625,Value,Hybrid
Conservative,Short-term,684555,Index,Debt
Aggressive,Medium-term,120949,Small-Cap,Equity
Conservative,Long-term,136895,Index,Debt
Moderate,Long-term,299459,Growth,Equity
Moderate,Long-term,785575,Index,ELSS
Moderate,Medium-term,93804,Growth,Equity
Conservative,Medium-term,740606,Index,Debt
Moderate,Medium-term,838013,Blend,Index
Moderate,Medium-term,710897,Index,Equity
Conservative,Short-term,482913,Dividend,Debt
Aggressive,Medium-term,631645,Growth,Equity
Conservative,Long-term,916193,Index,Hybrid
Moderate,Short-term,216337,Index,Hybrid
Moderate,Long-term,648272,Growth,Equity
Conservative,Medium-term,364593,Dividend,Debt
Aggressive,Short-term,261176,Growth,Equity
Moderate,Medium-term,163256,Index,Equity
Moderate,Short-term,950783,Index,Index
Moderate,Long-term,167642,Index,ELSS
Conservative,Medium-term,140522,Dividend,Debt
Moderate,Medium-term,315174,Index,Index
Aggressive,Short-term,858677,Small-Cap,Equity
Moderate,Short-term,720827,Value,Index
Moderate,Medium-term,260690,Growth,Equity
Aggressive,Short-term,569421,Growth,Equity
Moderate,Medium-term,744091,Index,Equity
Conservative,Short-term,971309,Index,Debt
Conservative,Long-term,578286,Dividend,Hybrid
Conservative,Short-term,158310,Index,Debt
Aggressive,Long-term,746448,Growth,ELSS
Moderate,Short-term,471480,Value,Hybrid
Conservative,Short-term,387747,Dividend,Debt
Aggressive,Medium-term,58245,Growth,Equity
Moderate,Short-term,295701,Value,Hybrid
Aggressive,Short-term,342618,Growth,Equity
Conservative,Long-term,237810,Dividend,Hybrid
Conservative,Short-term,206739,Dividend,Debt
Conservative,Medium-term,887660,Index,Debt
Aggressive,Long-term,796170,Small-Cap,ELSS
Aggressive,Medium-term,226585,Growth,ELSS
Conservative,Medium-term,75074,Value,Debt
Aggressive,Medium-term,68204,Growth,ELSS
Conservative,Medium-term,763957,Value,Debt
Conservative,Long-term,233872,Index,Debt
Moderate,Short-term,690935,Value,Index
Aggressive,Medium-term,483479,Small-Cap,ELSS
Conservative,Long-term,217096,Index,Debt
Conservative,Medium-term,947573,Index,Debt
Aggressive,Short-term,689760,Growth,Equity
Moderate,Long-term,951650,Growth,ELSS
Moderate,Long-term,541134,Index,Equity
Conservative,Short-term,443568,Dividend,Debt
Aggressive,Long-term,33694,Small-Cap,ELSS
Moderate,Short-term,293884,Index,Hybrid
Aggressive,Long-term,976942,Growth,ELSS
Aggressive,Long-term,565284,Small-Cap,Equity
Conservative,Short-term,598162,Dividend,Debt
Moderate,Short-term,107661,Value,Hybrid
Conservative,Long-term,641233,Index,Index
Moderate,Long-term,725042,Index,ELSS
Moderate,Short-term,709560,Value,Index
Moderate,Short-term,32970,Index,Hybrid
Moderate,Long-term,938399,Growth,Equity
Moderate,Long-term,703431,Growth,Index
Aggressive,Long-term,717628,Small-Cap,ELSS
Conservative,Short-term,425474,Dividend,Debt
Aggressive,Long-term,623178,Growth,ELSS
Moderate,Medium-term,761537,Index,Equity
Conservative,Short-term,67300,Index,Debt
Moderate,Long-term,271387,Growth,Index
Conservative,Short-term,71915,Dividend,Debt
Aggressive,Medium-term,149516,Small-Cap,Equity
Conservative,Short-term,609435,Dividend,Debt
Conservative,Long-term,610352,Dividend,Debt
Conservative,Medium-term,76535,Dividend,Debt
Conservative,Medium-term,538048,Dividend,Hybrid
Conservative,Long-term,702244,Index,Index
Moderate,Long-term,899147,Growth,Equity
Conservative,Long-term,921923,Dividend,Debt
Conservative,Short-term,490693,Index,Debt
Aggressive,Short-term,953526,Small-Cap,Equity
Conservative,Short-term,195576,Dividend,Debt
Aggressive,Long-term,140992,Growth,ELSS
Moderate,Long-term,446346,Growth,ELSS
Conservative,Short-term,184953,Dividend,Debt
Aggressive,Medium-term,596687,Growth,Equity
Aggressive,Short-term,439667,Growth,Equity
Moderate,Medium-term,454629,Index,Hybrid
Conservative,Long-term,757417,Index,Hybrid
Conservative,Long-term,334422,Dividend,Debt
Aggressive,Short-term,647574,Growth,ELSS
Conservative,Short-term,957143,Dividend,Debt
Aggressive,Long-term,699981,Small-Cap,ELSS
Conservative,Short-term,762345,Dividend,Debt
Aggressive,Long-term,788839,Small-Cap,ELSS
Conservative,Long-term,678439,Index,Index
Moderate,Medium-term,934399,Growth,Equity
Conservative,Short-term,889947,Index,Debt
Conservative,Long-term,62142,Index,Debt
Moderate,Short-term,514455,Index,Hybrid
Conservative,Medium-term,399301,Value,Debt
Moderate,Medium-term,940056,Index,Equity
Conservative,Short-term,102930,Dividend,Debt
Aggressive,Short-term,976325,Growth,Equity
Aggressive,Long-term,107812,Small-Cap,ELSS
Conservative,Medium-term,174702,Value,Debt
Conservative,Medium-term,604351,Dividend,Debt
Conservative,Medium-term,665278,Index,Hybrid
Aggressive,Short-term,284391,Growth,Equity
Conservative,Long-term,289747,Index,Debt
Aggressive,Short-term,112099,Growth,Equity
Moderate,Short-term,710924,Index,Hybrid
Aggressive,Short-term,514254,Small-Cap,Equity
Aggressive,Long-term,796959,Small-Cap,Equity
Moderate,Short-term,984025,Index,Hybrid
Aggressive,Medium-term,209530,Small-Cap,ELSS
Conservative,Medium-term,277993,Dividend,Debt
Conservative,Medium-term,234388,Value,Debt
Aggressive,Long-term,846746,Small-Cap,ELSS
Conservative,Short-term,186796,Dividend,Debt
Aggressive,Long-term,759036,Growth,Equity
Conservative,Short-term,289374,Dividend,Debt
Conservative,Medium-term,888661,Dividend,Debt
Aggressive,Short-term,344639,Small-Cap,Equity
Conservative,Short-term,373534,Dividend,Debt
Aggressive,Short-term,445946,Growth,ELSS
Conservative,Long-term,626225,Index,Index
Conservative,Short-term,910155,Dividend,Debt
Moderate,Short-term,275467,Index,Hybrid
Moderate,Short-term,403661,Index,Hybrid
Aggressive,Long-term,879377,Small-Cap,ELSS
Moderate,Long-term,675323,Growth,Equity
Aggressive,Long-term,978015,Small-Cap,ELSS
Moderate,Short-term,917233,Value,Hybrid
Conservative,Medium-term,526656,Dividend,Debt
Aggressive,Medium-term,680797,Growth,Equity
Aggressive,Medium-term,944359,Growth,Equity
Conservative,Short-term,91947,Index,Debt
Aggressive,Medium-term,526655,Growth,Equity
Aggressive,Medium-term,938351,Small-Cap,Equity
